canalyzingness,QMcomplexity,numBasins,meanAttractorLen,bias
0,0.25,2,2.5,0.525
0,0.2125,3,2.33333,0.4875
0,0.23125,1,7,0.45625
0,0.23125,1,4,0.56875
0,0.25,2,5,0.58125
0,0.2625,2,4,0.51875
0,0.2375,1,3,0.525
0,0.23125,3,1.66667,0.4625
0,0.2375,2,4.5,0.50625
0,0.25,3,4.33333,0.4875
0,0.275,3,3,0.49375
0,0.24375,2,1,0.475
0,0.2375,2,1,0.5
0,0.23125,2,3.5,0.475
0,0.2375,1,2,0.4875
0,0.21875,2,2,0.4875
0,0.23125,3,2,0.55
0,0.23125,2,5.5,0.56875
0,0.2625,3,3,0.5125
0,0.2375,1,6,0.55625
0,0.23125,3,2.66667,0.5
0,0.25,3,1.33333,0.48125
0,0.2375,1,3,0.525
0,0.21875,3,2.66667,0.475
0,0.25,4,2.75,0.4875
0,0.21875,5,1.8,0.51875
0,0.26875,3,3.33333,0.54375
0,0.23125,2,5,0.525
0,0.23125,2,1.5,0.5
0,0.2375,2,3.5,0.4875
0,0.24375,3,1.33333,0.49375
0,0.2625,3,2,0.50625
0,0.25625,3,1.33333,0.4875
0,0.2375,6,1.5,0.58125
0,0.24375,1,8,0.475
0,0.2125,1,3,0.49375
0,0.20625,1,1,0.475
0,0.23125,2,3.5,0.40625
0,0.26875,3,4,0.4875
0,0.23125,1,7,0.51875
0,0.23125,3,2.33333,0.41875
0,0.2375,5,1.2,0.46875
0,0.225,5,2,0.4625
0,0.21875,2,2,0.44375
0,0.2375,1,2,0.475
0,0.24375,1,3,0.46875
0,0.21875,2,2.5,0.5
0,0.225,3,4,0.46875
0,0.23125,3,1.66667,0.51875
0,0.25,3,1.66667,0.49375
0,0.225,3,1.33333,0.5875
0,0.23125,2,5.5,0.43125
0,0.24375,2,1.5,0.5375
0,0.24375,2,1.5,0.49375
0,0.23125,3,2.33333,0.45625
0,0.21875,5,1.8,0.5125
0,0.24375,2,3.5,0.475
0,0.2375,3,2,0.5375
0,0.2625,2,1.5,0.51875
0,0.2375,2,2.5,0.425
0,0.2375,2,1.5,0.475
0,0.25625,2,1,0.49375
0,0.24375,1,4,0.46875
0,0.2125,4,2.25,0.5125
0,0.2375,1,7,0.525
0,0.23125,2,4.5,0.45
0,0.2125,2,3.5,0.40625
0,0.225,1,8,0.475
0,0.25625,2,3.5,0.55625
0,0.20625,4,2.5,0.44375
0,0.26875,1,5,0.4875
0,0.24375,3,1,0.55
0,0.25,3,2.66667,0.53125
0,0.24375,4,2,0.5125
0,0.21875,2,3,0.525
0,0.2375,5,2.4,0.56875
0,0.225,3,1.66667,0.51875
0,0.20625,2,3,0.46875
0,0.24375,2,2.5,0.53125
0,0.225,1,10,0.49375
0,0.225,2,2,0.50625
0,0.23125,1,3,0.4625
0,0.23125,2,3.5,0.4625
0,0.225,4,2.5,0.50625
0,0.25,2,2.5,0.51875
0,0.23125,3,4.33333,0.5375
0,0.2125,2,3,0.4625
0,0.23125,1,4,0.49375
0,0.225,2,2,0.51875
0,0.21875,1,1,0.49375
0,0.23125,4,2,0.4625
0,0.25625,2,4,0.525
0,0.24375,3,3,0.46875
0,0.21875,4,2.25,0.48125
0,0.2625,2,3,0.4875
0,0.20625,2,1,0.5125
0,0.2375,4,1.5,0.49375
0,0.2125,2,4,0.48125
0,0.1875,4,2.5,0.45625
0,0.25,2,1.5,0.54375
0,0.26875,2,2,0.50625
0,0.24375,2,3.5,0.51875
0,0.23125,3,2.66667,0.5125
0,0.25,2,4,0.4875
0,0.24375,3,3,0.50625
0,0.225,3,3.66667,0.51875
0,0.25,2,3,0.50625
0,0.24375,3,2.66667,0.53125
0,0.25,3,1.33333,0.49375
0,0.21875,3,5,0.5375
0,0.23125,1,3,0.525
0,0.225,4,1.75,0.55
0,0.2375,5,2.4,0.4625
0,0.225,2,1.5,0.46875
0,0.2375,1,4,0.48125
0,0.2375,1,4,0.54375
0,0.21875,4,2.75,0.4625
0,0.24375,3,2,0.49375
0,0.225,2,1.5,0.4875
0,0.2375,1,14,0.55
0,0.21875,3,3,0.45
0,0.25625,1,2,0.46875
0,0.24375,1,5,0.50625
0,0.21875,4,1.75,0.53125
0,0.23125,4,2,0.4875
0,0.24375,3,2.33333,0.51875
0,0.21875,2,4.5,0.50625
0,0.225,3,1.33333,0.48125
0,0.225,1,2,0.475
0,0.24375,2,2,0.525
0,0.23125,2,2,0.4875
0,0.23125,2,1.5,0.45625
0,0.2375,3,1.33333,0.425
0,0.2375,3,3.66667,0.5125
0,0.21875,1,5,0.4625
0,0.23125,2,6.5,0.5
0,0.23125,1,2,0.5
0,0.21875,3,1.66667,0.4875
0,0.25625,3,2,0.5125
0,0.25625,2,2,0.4875
0,0.225,1,6,0.48125
0,0.26875,1,1,0.56875
0,0.2125,2,4,0.40625
0,0.23125,1,5,0.50625
0,0.2125,2,4,0.50625
0,0.2,2,1.5,0.60625
0,0.225,1,9,0.53125
0,0.24375,1,3,0.4625
0,0.225,4,2.5,0.49375
0,0.225,2,2,0.44375
0,0.2,3,1.33333,0.45
0,0.2375,3,1.66667,0.5375
0,0.26875,2,3,0.5125
0,0.2375,1,3,0.4875
0,0.23125,2,5,0.56875
0,0.2375,3,1.33333,0.5125
0,0.25625,3,2.66667,0.45625
0,0.25625,2,3.5,0.49375
0,0.24375,3,2.33333,0.54375
0,0.2375,3,3,0.5375
0,0.225,1,1,0.46875
0,0.2375,1,3,0.4875
0,0.25625,3,2.33333,0.5
0,0.21875,1,1,0.5
0,0.225,3,1,0.48125
0,0.25,2,2,0.4875
0,0.225,2,2.5,0.475
0,0.2375,2,2.5,0.49375
0,0.2375,1,1,0.525
0,0.25625,2,1,0.53125
0,0.225,3,2,0.48125
0,0.225,4,3,0.5125
0,0.2375,2,2.5,0.55
0,0.25,2,3,0.55625
0,0.24375,1,5,0.49375
0,0.2375,1,5,0.4625
0,0.23125,1,2,0.5125
0,0.2,2,1.5,0.4625
0,0.21875,4,2.25,0.525
0,0.23125,4,2,0.54375
0,0.24375,3,2.33333,0.5125
0,0.2375,1,5,0.53125
0,0.21875,2,1,0.48125
0,0.23125,1,11,0.54375
0,0.21875,2,3,0.4375
0,0.25625,3,3.33333,0.50625
0,0.2375,2,4,0.53125
0,0.2375,3,2.66667,0.48125
0,0.25625,2,4.5,0.53125
0,0.2,2,3.5,0.5125
0,0.23125,4,1.75,0.55
0,0.2,3,2,0.51875
0,0.225,2,3.5,0.5
0,0.2375,1,6,0.51875
0,0.25625,2,1,0.49375
0,0.2375,3,2,0.50625
0,0.2625,3,1,0.49375
0,0.2125,3,1.33333,0.5
0,0.21875,3,3.33333,0.56875
0,0.21875,1,18,0.46875
0,0.24375,3,2.66667,0.54375
0,0.23125,1,3,0.49375
0,0.25625,3,3.33333,0.51875
0,0.23125,4,2.5,0.5375
0,0.225,1,2,0.49375
0,0.25,3,2.66667,0.4875
0,0.2125,2,4.5,0.41875
0,0.2375,3,2.66667,0.55625
0,0.2375,4,2.25,0.45625
0,0.24375,4,2.75,0.575
0,0.25,4,2.75,0.4625
0,0.23125,2,3,0.45625
0,0.225,4,2.25,0.525
0,0.225,4,1,0.45
0,0.2125,4,1.25,0.5125
0,0.225,1,4,0.5
0,0.25625,3,2.66667,0.5125
0,0.2375,3,2,0.6
0,0.23125,4,2.75,0.55
0,0.2375,3,2,0.475
0,0.23125,2,2.5,0.5125
0,0.23125,1,6,0.49375
0,0.20625,1,3,0.5
0,0.25625,3,3,0.525
0,0.23125,3,3.33333,0.44375
0,0.21875,2,4.5,0.46875
0,0.24375,3,1.33333,0.5
0,0.24375,1,9,0.475
0,0.25,1,6,0.525
0,0.24375,2,6.5,0.49375
0,0.24375,3,2.66667,0.54375
0,0.2125,1,4,0.50625
0,0.20625,1,5,0.4125
0,0.23125,1,7,0.5125
0,0.23125,2,3,0.4875
0,0.21875,3,2.66667,0.525
0,0.25,1,3,0.51875
0,0.21875,3,2.33333,0.36875
0,0.2,2,1.5,0.4625
0,0.25,3,4.33333,0.54375
0,0.21875,3,1.66667,0.43125
0,0.2125,1,11,0.46875
0,0.20625,2,1.5,0.5
0,0.21875,2,5,0.45
0,0.25625,3,2.66667,0.56875
0,0.1875,3,3.66667,0.55
0,0.23125,3,1,0.4625
0,0.2125,1,4,0.5
0,0.225,1,5,0.54375
0,0.2375,2,2,0.51875
0,0.26875,5,3.4,0.46875
0,0.2375,4,1.75,0.4875
0,0.225,2,2,0.475
0,0.2375,3,1.66667,0.4875
0,0.21875,1,8,0.525
0,0.2375,4,2.5,0.51875
0,0.21875,2,2,0.55
0,0.24375,1,4,0.5
0,0.1875,1,5,0.48125
0,0.2,4,1.5,0.55
0,0.21875,4,2.5,0.46875
0,0.2375,2,3,0.55625
0,0.2125,1,8,0.56875
0,0.225,3,1.66667,0.45
0,0.2125,3,4.33333,0.55
0,0.20625,3,1.33333,0.5
0,0.25,2,2,0.46875
0,0.23125,1,11,0.51875
0,0.25,2,2.5,0.54375
0,0.20625,3,2,0.4875
0,0.21875,3,1.33333,0.50625
0,0.225,2,1,0.48125
0,0.24375,2,1,0.55625
0,0.24375,2,2,0.51875
0,0.25,1,7,0.525
0,0.25,3,1,0.475
0,0.225,3,3,0.5875
0,0.2375,2,5,0.475
0,0.23125,2,4.5,0.50625
0,0.20625,2,2.5,0.525
0,0.225,3,3,0.49375
0,0.25625,2,3,0.4625
0,0.25,2,1.5,0.50625
0,0.2125,4,2.75,0.59375
0,0.25,3,1.33333,0.525
0,0.2375,3,2.33333,0.5875
0,0.2125,3,2.66667,0.45625
0,0.21875,4,1.5,0.5375
0,0.2375,3,1,0.48125
0,0.2375,5,2.4,0.4375
0,0.25,1,9,0.5125
0,0.2375,3,3.66667,0.5
0,0.2125,2,3,0.50625
0,0.2375,2,5,0.525
0,0.25,2,2,0.5
0,0.25,4,1.75,0.4875
0,0.24375,4,2.5,0.50625
0,0.25625,5,2,0.49375
0,0.2125,2,3,0.43125
0,0.21875,1,7,0.50625
0,0.2375,3,2.66667,0.53125
0,0.2375,2,3,0.53125
0,0.25625,1,8,0.55625
0,0.25625,4,2.75,0.525
0,0.2375,5,2.8,0.5
0,0.23125,1,5,0.46875
0,0.23125,3,2.33333,0.4375
0,0.23125,3,1,0.475
0,0.21875,3,2.33333,0.475
0,0.24375,5,2.6,0.50625
0,0.25,2,3.5,0.48125
0,0.225,1,3,0.49375
0,0.2375,1,6,0.4625
0,0.24375,2,1,0.5125
0,0.21875,3,1.66667,0.45625
0,0.21875,4,1,0.5625
0,0.20625,5,2.6,0.4875
0,0.23125,3,1.33333,0.48125
0,0.25,6,1.33333,0.51875
0,0.225,1,1,0.58125
0,0.2625,4,1.75,0.5
0,0.23125,2,1,0.475
0,0.25625,4,2.75,0.48125
0,0.24375,3,1,0.55
0,0.225,4,2.75,0.5
0,0.2375,1,4,0.5
0,0.24375,4,2.75,0.48125
0,0.21875,3,1.66667,0.50625
0,0.225,2,3,0.5625
0,0.23125,2,3,0.43125
0,0.225,3,2.33333,0.5
0,0.21875,1,12,0.50625
0,0.24375,4,2.25,0.48125
0,0.24375,1,1,0.48125
0,0.2125,3,2.33333,0.50625
0,0.25625,3,3,0.48125
0,0.23125,2,6,0.4625
0,0.23125,2,6.5,0.5375
0,0.225,3,2.33333,0.59375
0,0.2625,1,10,0.51875
0,0.24375,3,3,0.55
0,0.23125,2,6,0.5125
0,0.225,3,2,0.5
0,0.25,2,1.5,0.5625
0,0.24375,1,4,0.50625
0,0.19375,3,2.33333,0.4875
0,0.23125,3,4.33333,0.4875
0,0.2375,4,2,0.5125
0,0.2125,3,3.33333,0.425
0,0.23125,2,4.5,0.525
0,0.2375,3,3.66667,0.49375
0,0.25,2,1,0.525
0,0.23125,1,2,0.39375
0,0.2125,4,2.5,0.51875
0,0.24375,2,2,0.425
0,0.23125,2,4,0.4625
0,0.26875,1,5,0.51875
0,0.23125,1,7,0.475
0,0.24375,3,3.33333,0.53125
0,0.21875,2,4.5,0.50625
0,0.23125,2,5,0.45
0,0.225,3,4.66667,0.55
0,0.2125,2,3,0.54375
0,0.23125,2,4.5,0.55
0,0.2625,2,4.5,0.55
0,0.2,3,4,0.35625
0,0.23125,5,2,0.51875
0,0.25,2,6,0.5375
0,0.20625,1,5,0.4875
0,0.2375,2,3.5,0.4125
0,0.24375,3,2.33333,0.4875
0,0.20625,3,2,0.46875
0,0.2375,1,2,0.5875
0,0.24375,1,3,0.50625
0,0.23125,5,1.8,0.4625
0,0.23125,2,7.5,0.46875
0,0.23125,2,2.5,0.53125
0,0.225,4,1.5,0.56875
0,0.225,1,9,0.50625
0,0.2125,3,1.33333,0.475
0,0.21875,1,5,0.48125
0,0.2625,1,5,0.5375
0,0.23125,2,6,0.50625
0,0.2,1,3,0.50625
0,0.225,1,1,0.525
0,0.25,2,1,0.56875
0,0.23125,1,4,0.51875
0,0.2625,3,1,0.51875
0,0.25,2,3.5,0.49375
0,0.2125,3,4,0.46875
0,0.2125,3,2,0.4375
0,0.2125,2,2,0.5125
0,0.25,3,1,0.6
0,0.23125,1,10,0.54375
0,0.25625,1,3,0.53125
0,0.23125,2,1.5,0.5125
0,0.24375,3,2,0.46875
0,0.24375,3,2.33333,0.5
0,0.24375,3,3.33333,0.525
0,0.24375,1,7,0.48125
0,0.25625,1,1,0.525
0,0.26875,4,2.25,0.44375
0,0.20625,1,2,0.53125
0,0.225,2,1.5,0.525
0,0.24375,3,2,0.50625
0,0.225,3,3,0.525
0,0.21875,3,2.66667,0.5125
0,0.2125,2,2.5,0.40625
0,0.28125,3,2.33333,0.475
0,0.225,2,2,0.50625
0,0.21875,2,3,0.43125
0,0.21875,4,1.5,0.5875
0,0.2,3,2,0.58125
0,0.25,4,1.5,0.5
0,0.225,4,2.25,0.475
0,0.2375,3,2,0.54375
0,0.225,3,2,0.5125
0,0.2,2,1.5,0.36875
0,0.21875,2,2,0.44375
0,0.23125,1,6,0.41875
0,0.2625,3,3.66667,0.60625
0,0.2375,3,1,0.4875
0,0.25,1,6,0.4625
0,0.24375,1,2,0.475
0,0.225,4,1.75,0.54375
0,0.225,1,4,0.4875
0,0.23125,2,5,0.55
0,0.24375,3,1.66667,0.5125
0,0.21875,3,4.33333,0.53125
0,0.23125,1,6,0.4875
0,0.2125,2,4.5,0.4875
0,0.25,3,1.33333,0.525
0,0.21875,2,4,0.50625
0,0.25625,1,10,0.51875
0,0.24375,5,2.2,0.49375
0,0.21875,4,2.5,0.475
0,0.225,2,6,0.475
0,0.2875,2,3,0.54375
0,0.2125,4,2.25,0.44375
0,0.25,2,1.5,0.5125
0,0.2375,1,2,0.51875
0,0.2125,3,3.66667,0.4625
0,0.20625,3,3,0.475
0,0.24375,4,1.25,0.5125
0,0.25,3,1,0.51875
0,0.2125,2,1.5,0.41875
0,0.2375,2,2.5,0.525
0,0.23125,3,1.33333,0.41875
0,0.24375,4,1.25,0.4875
0,0.20625,1,3,0.5
0,0.2125,5,2.2,0.49375
0,0.23125,2,1.5,0.5
0,0.24375,3,3,0.43125
0,0.24375,4,2.75,0.53125
0,0.24375,2,7,0.53125
0,0.2375,2,7,0.525
0,0.25,5,2,0.5625
0,0.1875,5,2.4,0.45625
0,0.23125,4,1.5,0.45625
0,0.20625,1,1,0.50625
0,0.225,4,1,0.50625
0,0.2375,3,1.66667,0.46875
0,0.2125,2,4.5,0.5375
0,0.25,3,2.33333,0.53125
0,0.23125,2,2.5,0.46875
0,0.2125,5,3.2,0.5125
0,0.24375,4,2.5,0.55625
0,0.21875,3,2.33333,0.45
0,0.225,4,3,0.51875
0,0.225,5,1.6,0.54375
0,0.23125,2,2.5,0.41875
0,0.23125,2,4,0.45625
0,0.23125,2,6,0.50625
0,0.2125,5,2.4,0.5
0,0.225,2,3.5,0.525
0,0.225,4,2.25,0.5
0,0.23125,1,1,0.5
0,0.2375,2,4,0.4875
0,0.21875,1,5,0.4125
0,0.24375,3,3,0.4875
0,0.23125,1,6,0.5375
0,0.21875,3,1.66667,0.50625
0,0.2375,2,1,0.525
0,0.21875,3,1.66667,0.5625
0,0.23125,2,5,0.475
0,0.2,3,4,0.40625
0,0.23125,2,1,0.4875
0,0.2375,1,9,0.5375
0,0.24375,4,2.5,0.51875
0,0.24375,2,3,0.5
0,0.25625,1,7,0.53125
0,0.20625,3,2.66667,0.4625
0,0.225,2,3,0.40625
0,0.2375,2,3.5,0.50625
0,0.2625,2,2.5,0.525
0,0.19375,2,3.5,0.45
0,0.225,3,3.66667,0.525
0,0.24375,2,3,0.5
0,0.2,3,6.33333,0.48125
0,0.24375,2,3.5,0.54375
0,0.2125,2,2.5,0.45625
0,0.2125,3,2.33333,0.45
0,0.25625,1,2,0.5375
0,0.2375,1,2,0.475
0,0.23125,3,4.66667,0.475
0,0.2375,2,5.5,0.49375
0,0.225,3,3.66667,0.5375
0,0.23125,2,2,0.48125
0,0.24375,2,3,0.45625
0,0.19375,1,2,0.43125
0,0.225,1,16,0.4625
0,0.24375,3,2.33333,0.49375
0,0.2125,2,1.5,0.525
0,0.23125,3,5.33333,0.5
0,0.225,4,1.75,0.45625
0,0.2625,1,3,0.49375
0,0.23125,2,4.5,0.48125
0,0.2125,1,6,0.48125
0,0.23125,2,6,0.525
0,0.25625,1,3,0.525
0,0.25625,4,2.5,0.46875
0,0.225,2,2.5,0.475
0,0.23125,4,2.25,0.50625
0,0.2375,2,4,0.51875
0,0.2,4,1.25,0.51875
0,0.23125,4,1.5,0.45625
0,0.24375,5,4,0.49375
0,0.23125,4,1.5,0.525
0,0.23125,4,3,0.51875
0,0.23125,1,8,0.56875
0,0.25,2,1,0.475
0,0.24375,4,1.75,0.50625
0,0.23125,1,6,0.5
0,0.2375,2,6.5,0.58125
0,0.225,3,5.33333,0.4625
0,0.2375,2,5,0.55625
0,0.25625,2,4.5,0.5375
0,0.21875,2,1.5,0.4375
0,0.20625,2,3,0.41875
0,0.21875,3,1.66667,0.5625
0,0.2125,4,2,0.4625
0,0.20625,3,2.66667,0.48125
0,0.2375,1,1,0.49375
0,0.2375,2,5.5,0.45
0,0.25,1,3,0.5125
0,0.26875,4,3,0.59375
0,0.21875,1,7,0.48125
0,0.23125,3,2.33333,0.45
0,0.23125,3,2.33333,0.5
0,0.2,2,1.5,0.4625
0,0.24375,2,2,0.5375
0,0.26875,2,2.5,0.525
0,0.2625,2,6,0.49375
0,0.21875,4,3.25,0.45
0,0.225,2,3,0.49375
0,0.21875,2,4,0.5125
0,0.225,3,3.33333,0.5
0,0.225,3,1,0.46875
0,0.24375,3,3.66667,0.53125
0,0.24375,3,2.33333,0.4625
0,0.23125,2,5.5,0.5
0,0.21875,2,3,0.49375
0,0.225,2,2,0.46875
0,0.2125,2,2,0.46875
0,0.225,3,4.33333,0.46875
0,0.21875,2,5,0.53125
0,0.23125,2,2.5,0.525
0,0.20625,5,1.2,0.4375
0,0.20625,2,2,0.45
0,0.275,1,5,0.525
0,0.225,2,1,0.55625
0,0.2375,1,9,0.46875
0,0.25625,3,2,0.56875
0,0.25,2,2.5,0.525
0,0.23125,3,3.33333,0.54375
0,0.25,2,2.5,0.50625
0,0.2375,3,4.33333,0.4875
0,0.23125,3,3.66667,0.6
0,0.21875,3,1.66667,0.475
0,0.24375,3,3.66667,0.48125
0,0.225,1,5,0.475
0,0.24375,2,6,0.525
0,0.24375,5,2,0.525
0,0.25,1,4,0.5375
0,0.225,4,2,0.4875
0,0.225,3,2.33333,0.54375
0,0.24375,2,3,0.45625
0,0.24375,3,3.66667,0.4625
0,0.24375,2,3,0.4875
0,0.24375,3,1.33333,0.46875
0,0.225,1,2,0.4875
0,0.24375,1,3,0.5625
0,0.2125,1,1,0.51875
0,0.225,2,3.5,0.5375
0,0.25,2,7.5,0.50625
0,0.2375,2,2,0.41875
0,0.2125,2,5,0.45
0,0.23125,2,2.5,0.5625
0,0.2375,2,2.5,0.55625
0,0.25625,3,2.33333,0.5625
0,0.21875,2,3,0.48125
0,0.24375,1,3,0.4875
0,0.24375,4,1.5,0.54375
0,0.23125,4,2.25,0.45
0,0.21875,2,5.5,0.45
0,0.2375,2,1.5,0.54375
0,0.225,4,1.25,0.5
0,0.25,3,4,0.49375
0,0.21875,3,3.66667,0.4375
0,0.21875,2,1.5,0.50625
0,0.2375,1,6,0.48125
0,0.25625,2,1.5,0.48125
0,0.2375,3,2.33333,0.5
0,0.24375,3,3.33333,0.48125
0,0.23125,2,3.5,0.55
0,0.2,3,2,0.51875
0,0.21875,4,3.25,0.50625
0,0.24375,1,8,0.51875
0,0.2375,2,5.5,0.5375
0,0.2375,4,3.25,0.5
0,0.24375,1,7,0.4875
0,0.23125,2,1.5,0.49375
0,0.20625,4,2,0.4875
0,0.24375,2,2,0.5
0,0.25,3,1.66667,0.6
0,0.2,2,2,0.51875
0,0.21875,1,7,0.4375
0,0.21875,4,2.75,0.43125
0,0.21875,2,3,0.51875
0,0.23125,2,4,0.49375
0,0.21875,3,2.33333,0.48125
0,0.23125,2,3.5,0.475
0,0.225,2,2,0.51875
0,0.2375,3,1.66667,0.5125
0,0.21875,4,2,0.40625
0,0.25,2,2.5,0.5125
0,0.20625,1,4,0.5
0,0.275,2,4.5,0.56875
0,0.21875,2,1,0.51875
0,0.2,1,2,0.4
0,0.24375,1,5,0.5
0,0.23125,4,1.75,0.53125
0,0.225,2,3.5,0.4875
0,0.2375,3,2.66667,0.4625
0,0.23125,2,3.5,0.45
0,0.2625,1,6,0.475
0,0.25,1,4,0.51875
0,0.21875,4,2,0.45
0,0.2375,4,2.75,0.55
0,0.25625,1,4,0.51875
0,0.2125,4,2.25,0.45625
0,0.2125,2,3.5,0.45625
0,0.275,3,3.33333,0.55625
0,0.2375,2,4.5,0.475
0,0.23125,2,1,0.41875
0,0.24375,2,2.5,0.53125
0,0.25,1,3,0.55625
0,0.2375,4,1.5,0.5875
0,0.25625,1,3,0.49375
0,0.21875,2,3.5,0.4875
0,0.20625,4,2,0.475
0,0.225,2,3.5,0.5375
0,0.19375,4,2,0.4625
0,0.225,2,4,0.45625
0,0.23125,2,6,0.49375
0,0.21875,1,1,0.46875
0,0.25,3,3.66667,0.475
0,0.21875,1,1,0.56875
0,0.225,3,2,0.5125
0,0.23125,2,1.5,0.475
0,0.25625,5,2.8,0.475
0,0.2375,5,1.6,0.50625
0,0.21875,2,4,0.4625
0,0.21875,2,4.5,0.5
0,0.225,1,4,0.45625
0,0.21875,1,6,0.49375
0,0.2375,2,2.5,0.56875
0,0.23125,2,3.5,0.4875
0,0.23125,2,2.5,0.45625
0,0.23125,4,2.75,0.525
0,0.25,2,3.5,0.60625
0,0.2125,2,1.5,0.48125
0,0.25,1,5,0.54375
0,0.225,2,2,0.46875
0,0.24375,3,3,0.525
0,0.26875,2,4.5,0.55625
0,0.26875,4,1.5,0.4875
0,0.2375,6,2.33333,0.44375
0,0.20625,4,3.25,0.4375
0,0.24375,3,3.33333,0.425
0,0.2375,2,1.5,0.5
0,0.23125,4,2.5,0.4875
0,0.23125,1,2,0.475
0,0.25,3,1,0.4875
0,0.2625,1,1,0.48125
0,0.23125,3,2,0.48125
0,0.2,1,6,0.49375
0,0.24375,4,3.75,0.50625
0,0.24375,3,4,0.5375
0,0.275,2,5,0.5
0,0.225,3,2,0.4375
0,0.23125,1,2,0.49375
0,0.225,3,2,0.41875
0,0.23125,1,4,0.55625
0,0.2375,3,2.66667,0.45
0,0.25,2,4.5,0.49375
0,0.225,4,1.5,0.46875
0,0.275,5,1.6,0.50625
0,0.2625,3,2.33333,0.50625
0,0.2625,1,2,0.5125
0,0.28125,3,2.66667,0.53125
0,0.225,2,2.5,0.4625
0,0.23125,3,1,0.45
0,0.25,2,2.5,0.525
0,0.2375,4,2.5,0.49375
0,0.23125,3,2.33333,0.5
0,0.25,2,2,0.54375
0,0.2125,1,5,0.45625
0,0.19375,1,2,0.39375
0,0.225,2,3.5,0.49375
0,0.225,3,2.33333,0.50625
0,0.2375,2,2.5,0.49375
0,0.24375,4,3.75,0.5
0,0.225,5,2.6,0.575
0,0.24375,3,1,0.49375
0,0.20625,4,3,0.5125
0,0.26875,3,2,0.425
0,0.2375,4,2.75,0.45
0,0.2125,2,1,0.475
0,0.2625,2,1,0.51875
0,0.23125,2,3.5,0.5625
0,0.2125,1,2,0.50625
0,0.225,3,3.33333,0.4625
0,0.21875,3,1,0.48125
0,0.24375,4,1.75,0.54375
0,0.25,4,1,0.5
0,0.24375,6,2.33333,0.48125
0,0.25,2,5,0.55
0,0.21875,1,3,0.50625
0,0.23125,3,2,0.5375
0,0.25625,1,2,0.5375
0,0.24375,1,3,0.4875
0,0.21875,2,2,0.475
0,0.2375,5,2,0.45625
0,0.225,1,1,0.5
0,0.2,2,2.5,0.46875
0,0.25625,2,2,0.4875
0,0.225,1,8,0.5
0,0.2125,2,2,0.5125
0,0.21875,2,5,0.51875
0,0.24375,4,1.75,0.525
0,0.24375,1,6,0.51875
0,0.23125,3,2,0.48125
0,0.23125,3,4.33333,0.5125
0,0.225,2,2.5,0.51875
0,0.24375,2,4.5,0.5125
0,0.25625,3,2.66667,0.46875
0,0.21875,2,3.5,0.51875
0,0.2625,2,1.5,0.50625
0,0.24375,3,1.66667,0.46875
0,0.2375,1,4,0.5125
0,0.2625,1,7,0.53125
0,0.225,1,13,0.5125
0,0.21875,1,8,0.46875
0,0.20625,1,2,0.53125
0,0.2375,3,2.33333,0.46875
0,0.225,3,3,0.5125
0,0.23125,2,2.5,0.49375
0,0.21875,3,1,0.45625
0,0.25625,3,2,0.45625
0,0.225,1,1,0.4875
0,0.25625,6,2.16667,0.5125
0,0.2125,2,1,0.49375
0,0.24375,2,2.5,0.4625
0,0.24375,2,2.5,0.5375
0,0.23125,2,3,0.4625
0,0.225,3,3,0.50625
0,0.24375,2,3,0.48125
0,0.25,2,2.5,0.525
0,0.225,3,1,0.51875
0,0.25,2,1,0.4625
0,0.225,2,3,0.44375
0,0.23125,3,2.33333,0.5125
0,0.24375,1,2,0.51875
0,0.25,2,2,0.46875
0,0.24375,2,6,0.45625
0,0.2375,4,2.5,0.49375
0,0.20625,5,2.8,0.43125
0,0.23125,1,5,0.55
0,0.2375,3,2,0.50625
0,0.23125,2,1.5,0.54375
0,0.2375,2,3,0.5
0,0.21875,4,2.5,0.49375
0,0.3,1,9,0.5125
0,0.21875,2,5.5,0.475
0,0.21875,3,2.66667,0.525
0,0.2375,2,3,0.575
0,0.23125,3,3.33333,0.48125
0,0.24375,3,3.66667,0.53125
0,0.21875,1,7,0.4375
0,0.24375,6,1.5,0.525
0,0.2125,2,4,0.5
0,0.20625,3,4.33333,0.50625
0,0.2375,2,3,0.475
0,0.2625,3,2,0.4875
0,0.23125,1,9,0.51875
0,0.23125,3,3,0.55625
0,0.2625,2,3,0.51875
0,0.2125,1,8,0.55625
0,0.2625,3,2.66667,0.46875
0,0.225,5,2.2,0.49375
0,0.2125,3,3,0.475
0,0.225,1,2,0.50625
0,0.20625,1,3,0.525
0,0.25625,3,2.66667,0.5125
0,0.2375,2,2,0.4625
0,0.225,2,1,0.50625
0,0.24375,1,3,0.41875
0,0.225,2,3.5,0.475
0,0.21875,2,7.5,0.4875
0,0.25,4,2.5,0.50625
0,0.24375,1,1,0.5
0,0.23125,1,7,0.44375
0,0.225,3,2.33333,0.49375
0,0.23125,3,4.66667,0.44375
0,0.2375,2,1,0.475
0,0.23125,3,2.33333,0.50625
0,0.21875,2,2.5,0.475
0,0.24375,2,3.5,0.50625
0,0.2125,3,3,0.53125
0,0.2125,2,2.5,0.45
0,0.23125,2,2.5,0.49375
0,0.25,3,3.66667,0.5
0,0.2125,1,4,0.5
0,0.2375,3,3.33333,0.46875
0,0.2625,2,2,0.5125
0,0.23125,2,5.5,0.49375
0,0.25,2,3.5,0.46875
